loadcase,node_id,label,mass,x,y,z,fx,fy,fz
LC500049,90000008,AFT midbody fittings,0.705346997,163.1651033,3.681086446,97.71591909,0.0026111261642352912,-0.0,2.116040991
LC500049,90000009,FWD midbody antennas and components (top skin),2.077807158,136.0348076,-0.029214728,103.8796743,0.007691840551621675,-0.0,6.233421474
LC500049,90000010,AFT midbody components (top skin),0.46,155.0525861,-1.219635626,104.0709847,0.00170287538,-0.0,1.3800000000000001
LC500049,90000011,AFT avionics,7.417164744,170.2919744,1.042492177,100.9856475,0.02745762441730783,-0.0,22.251494232
LC500049,90000012,Engine,21.7,180.167568,0.050604837,100.3439833,0.08033129509999999,-0.0,65.1
LC500049,90000013,Fuel,30.0,152.9348,-0.0016,99.8344,0.11105709,-0.0,90.0
LC500049,90000014,"AFT hardware (actuators, etc.)",5.591094522,187.2061025,0.026525865,100.375461,0.020697689584275362,-0.0,16.773283566
LC500190,90000001,Nose boom,0.13,100.3807505,8.62365e-05,99.75967368,-0.00096642962,-0.0,0.39
LC500190,90000002,FWD avionics,27.5163046,117.1525436,0.038859881,99.68577371,-0.2045582446029404,-0.0,82.54891380000001
LC500190,90000003,FWD BTM antenna,0.03,125.0804,2.2734,95.0277,-0.00022302221999999998,-0.0,0.09
LC500190,90000004,FWD bulkhead avionics,3.596369815,126.7948283,-0.354759157,99.01272995,-0.02673567933607631,-0.0,10.789109445000001
LC500190,90000005,FTS BAY,2.930249445,133.9296552,-0.446408578,100.1072777,-0.021783691212588926,-0.0,8.790748335
LC500190,90000006,Bottom Electronics and Antenna,3.946603032,135.677227,0.108746362,96.40403311,-0.02933933898851237,-0.0,11.839809096
LC500190,90000007,HF Antenna,0.16,152.6426,0.5084,95.72,-0.00118945184,-0.0,0.48
LC500190,90000008,AFT midbody fittings,0.705346997,163.1651033,3.681086446,97.71591909,-0.005243601771375778,-0.0,2.116040991
LC500190,90000009,FWD midbody antennas and components (top skin),2.077807158,136.0348076,-0.029214728,103.8796743,-0.015446572170301693,-0.0,6.233421474
LC500190,90000010,AFT midbody components (top skin),0.46,155.0525861,-1.219635626,104.0709847,-0.00341967404,-0.0,1.3800000000000001
LC500190,90000011,AFT avionics,7.417164744,170.2919744,1.042492177,100.9856475,-0.05513975157708705,-0.0,22.251494232
LC500190,90000012,Engine,21.7,180.167568,0.050604837,100.3439833,-0.16131940579999998,-0.0,65.1
LC500190,90000013,Fuel,30.0,152.9348,-0.0016,99.8344,-0.22302222,-0.0,90.0
LC500190,90000014,"AFT hardware (actuators, etc.)",5.591094522,187.2061025,0.026525865,100.375461,-0.04156461041754263,-0.0,16.773283566
LC500245,90000001,Nose boom,0.13,100.3807505,8.62365e-05,99.75967368,-0.00161807672,-0.0,-0.585
LC500245,90000002,FWD avionics,27.5163046,117.1525436,0.038859881,99.68577371,-0.3424883991822224,-0.0,-123.82337070000001
LC500245,90000003,FWD BTM antenna,0.03,125.0804,2.2734,95.0277,-0.00037340231999999997,-0.0,-0.135
LC500245,90000004,FWD bulkhead avionics,3.596369815,126.7948283,-0.354759157,99.01272995,-0.04476309441663236,-0.0,-16.1836641675
LC500245,90000005,FTS BAY,2.930249445,133.9296552,-0.446408578,100.1072777,-0.036472064698057076,-0.0,-13.1861225025
LC500245,90000006,Bottom Electronics and Antenna,3.946603032,135.677227,0.108746362,96.40403311,-0.0491223576089278,-0.0,-17.759713644
LC500245,90000007,HF Antenna,0.16,152.6426,0.5084,95.72,-0.00199147904,-0.0,-0.72
LC500245,90000008,AFT midbody fittings,0.705346997,163.1651033,3.681086446,97.71591909,-0.008779273502827768,-0.0,-3.1740614865000003
LC500245,90000009,FWD midbody antennas and components (top skin),2.077807158,136.0348076,-0.029214728,103.8796743,-0.025861933776993553,-0.0,-9.350132211
LC500245,90000010,AFT midbody components (top skin),0.46,155.0525861,-1.219635626,104.0709847,-0.00572550224,-0.0,-2.0700000000000003
LC500245,90000011,AFT avionics,7.417164744,170.2919744,1.042492177,100.9856475,-0.09231955077439354,-0.0,-33.377241348
LC500245,90000012,Engine,21.7,180.167568,0.050604837,100.3439833,-0.2700943448,-0.0,-97.64999999999999
LC500245,90000013,Fuel,30.0,152.9348,-0.0016,99.8344,-0.37340231999999995,-0.0,-135.0
LC500245,90000014,"AFT hardware (actuators, etc.)",5.591094522,187.2061025,0.026525865,100.375461,-0.06959092219513636,-0.0,-25.159925348999998
LC500249,90000001,Nose boom,0.13,100.3807505,8.62365e-05,99.75967368,-0.00168270648,-0.0,0.39
LC500249,90000002,FWD avionics,27.5163046,117.1525436,0.038859881,99.68577371,-0.3561681850467216,-0.0,82.54891380000001
LC500249,90000003,FWD BTM antenna,0.03,125.0804,2.2734,95.0277,-0.00038831688,-0.0,0.09
LC500249,90000004,FWD bulkhead avionics,3.596369815,126.7948283,-0.354759157,99.01272995,-0.04655103686289924,-0.0,10.789109445000001
LC500249,90000005,FTS BAY,2.930249445,133.9296552,-0.446408578,100.1072777,-0.03792884407013772,-0.0,8.790748335
LC500249,90000006,Bottom Electronics and Antenna,3.946603032,135.677227,0.108746362,96.40403311,-0.05108441919949267,-0.0,11.839809096
LC500249,90000007,HF Antenna,0.16,152.6426,0.5084,95.72,-0.00207102336,-0.0,0.48
LC500249,90000008,AFT midbody fittings,0.705346997,163.1651033,3.681086446,97.71591909,-0.009129938173080313,-0.0,2.116040991
LC500249,90000009,FWD midbody antennas and components (top skin),2.077807158,136.0348076,-0.029214728,103.8796743,-0.02689491976120757,-0.0,6.233421474
LC500249,90000010,AFT midbody components (top skin),0.46,155.0525861,-1.219635626,104.0709847,-0.00595419216,-0.0,1.3800000000000001
LC500249,90000011,AFT avionics,7.417164744,170.2919744,1.042492177,100.9856475,-0.09600700906120262,-0.0,22.251494232
LC500249,90000012,Engine,21.7,180.167568,0.050604837,100.3439833,-0.2808825432,-0.0,65.1
LC500249,90000013,Fuel,30.0,152.9348,-0.0016,99.8344,-0.38831688,-0.0,90.0
LC500249,90000014,"AFT hardware (actuators, etc.)",5.591094522,187.2061025,0.026525865,100.375461,-0.0723705460189377,-0.0,16.773283566
LC500345,90000001,Nose boom,0.13,100.3807505,8.62365e-05,99.75967368,-0.0009992101600000002,-0.0,-0.585
LC500345,90000002,FWD avionics,27.5163046,117.1525436,0.038859881,99.68577371,-0.21149670093826722,-0.0,-123.82337070000001
LC500345,90000003,FWD BTM antenna,0.03,125.0804,2.2734,95.0277,-0.00023058696,-0.0,-0.135
LC500345,90000004,FWD bulkhead avionics,3.596369815,126.7948283,-0.354759157,99.01272995,-0.027642532755887083,-0.0,-16.1836641675
LC500345,90000005,FTS BAY,2.930249445,133.9296552,-0.446408578,100.1072777,-0.02252257705214124,-0.0,-13.1861225025
LC500345,90000006,Bottom Electronics and Antenna,3.946603032,135.677227,0.108746362,96.40403311,-0.030334506515855425,-0.0,-17.759713644
LC500345,90000007,HF Antenna,0.16,152.6426,0.5084,95.72,-0.00122979712,-0.0,-0.72
LC500345,90000008,AFT midbody fittings,0.705346997,163.1651033,3.681086446,97.71591909,-0.005421460659445304,-0.0,-3.1740614865000003
LC500345,90000009,FWD midbody antennas and components (top skin),2.077807158,136.0348076,-0.029214728,103.8796743,-0.015970507867648656,-0.0,-9.350132211
LC500345,90000010,AFT midbody components (top skin),0.46,155.0525861,-1.219635626,104.0709847,-0.0035356667200000004,-0.0,-2.0700000000000003
LC500345,90000011,AFT avionics,7.417164744,170.2919744,1.042492177,100.9856475,-0.05701004900460461,-0.0,-33.377241348
LC500345,90000012,Engine,21.7,180.167568,0.050604837,100.3439833,-0.1667912344,-0.0,-97.64999999999999
LC500345,90000013,Fuel,30.0,152.9348,-0.0016,99.8344,-0.23058696,-0.0,-135.0
LC500345,90000014,"AFT hardware (actuators, etc.)",5.591094522,187.2061025,0.026525865,100.375461,-0.0429744496300211,-0.0,-25.159925348999998
LC500352,90000001,Nose boom,0.13,100.3807505,8.62365e-05,99.75967368,3.704636e-05,-0.0,0.39
LC500352,90000002,FWD avionics,27.5163046,117.1525436,0.038859881,99.68577371,0.0078413763544712,-0.0,82.54891380000001
LC500352,90000003,FWD BTM antenna,0.03,125.0804,2.2734,95.0277,8.549159999999998e-06,-0.0,0.09
LC500352,90000004,FWD bulkhead avionics,3.596369815,126.7948283,-0.354759157,99.01272995,0.0010248646989201799,-0.0,10.789109445000001
LC500352,90000005,FTS BAY,2.930249445,133.9296552,-0.446408578,100.1072777,0.0008350390448405399,-0.0,8.790748335
LC500352,90000006,Bottom Electronics and Antenna,3.946603032,135.677227,0.108746362,96.40403311,0.001124671359235104,-0.0,11.839809096
LC500352,90000007,HF Antenna,0.16,152.6426,0.5084,95.72,4.5595519999999995e-05,-0.0,0.48
LC500352,90000008,AFT midbody fittings,0.705346997,163.1651033,3.681086446,97.71591909,0.000201004144429084,-0.0,2.116040991
LC500352,90000009,FWD midbody antennas and components (top skin),2.077807158,136.0348076,-0.029214728,103.8796743,0.000592116861429576,-0.0,6.233421474
LC500352,90000010,AFT midbody components (top skin),0.46,155.0525861,-1.219635626,104.0709847,0.00013108712,-0.0,1.3800000000000001
LC500352,90000011,AFT avionics,7.417164744,170.2919744,1.042492177,100.9856475,0.002113684271427168,-0.0,22.251494232
LC500352,90000012,Engine,21.7,180.167568,0.050604837,100.3439833,0.006183892399999999,-0.0,65.1
LC500352,90000013,Fuel,30.0,152.9348,-0.0016,99.8344,0.00854916,-0.0,90.0
LC500352,90000014,"AFT hardware (actuators, etc.)",5.591094522,187.2061025,0.026525865,100.375461,0.0015933053881233838,-0.0,16.773283566
LC500390,90000001,Nose boom,0.13,100.3807505,8.62365e-05,99.75967368,-0.00056046939,-0.0,0.39
LC500390,90000002,FWD avionics,27.5163046,117.1525436,0.038859881,99.68577371,-0.11863112657089381,-0.0,82.54891380000001
LC500390,90000003,FWD BTM antenna,0.03,125.0804,2.2734,95.0277,-0.00012933908999999998,-0.0,0.09
LC500390,90000004,FWD bulkhead avionics,3.596369815,126.7948283,-0.354759157,99.01272995,-0.015505039972518946,-0.0,10.789109445000001
LC500390,90000005,FTS BAY,2.930249445,133.9296552,-0.446408578,100.1072777,-0.012633193222976834,-0.0,8.790748335
